Flavor 1,Flavor 2,Flavor 3
vanilla,chocolate,chocolate mint
butterscotch,chocolate,mango
vanilla,chocolate,chocolate
butterscotch,almond,chocolate
chocolate,butterscotch,black currant
butterscotch,strawberry,kesar pista
choco chip,blueberry,strawberry
strawberry,chocolate,raspberry
vanilla,chocolate,mango
chocolate,vanilla,coffee
chocolate,vanilla,strawberry
jack fruit,sitaphal,anjeer
vanilla,strawberry,coffee
chocolate,vanilla,strawberry
chocolate,strawberry,vanilla
butterscotch,custard apple,vanilla
strawberry,vanilla,chocolate
chocolate,strawberry,ninja fruit
lychee,vanilla,mango
choco bite,guava,butterscotch
chocolate,butterscotch,dark chocolate
american pie,butterscotch,chocolate
strawberry,coffee,vanilla
butterscotch,mango,strawberry
vannila,strawberry,butterscotch
butterscotch,vallina,chocolate
butterscotch,coffee,mango
strawberry,chocolate chip cookie dough,buttered pecan
vanilla,buttered pecan,strawberry
mint chocolate chip,chocolate chip cookie dough,mango
butterscotch,black forest,chocolate
vanilla,strawberry,coffee
vanilla,mint chocolate chip,avocado
vanilla,strawberry,mango
chocolate,butterscotch,vanilla
vanilla,buttered pecan,chocolate chip cookie dough
mango,chocolate chip cookie dough,strawberry
mango,buttered pecan,strawberry
belgian chocolate,american nut,hazelnut
chocolate chip cookie dough,buttered pecan,strawberry
mint chocolate chip,buttered pecan,vanilla
vanilla,mango,strawberry
coffee,mango,strawberry
chocolate,mango,strawberry banana rendezvous
butterscotch,chocolate,hazelnut
black forest,dry fruit,chocolate
vanilla,american nuts,butterscotch
butterscotch,vanilla,chocolate
coffee,strawberry,vanilla
vanilla,strawberry,coffee
vanilla,coffee,strawberry
vanilla,strawberry,coffee
coffee,vanilla,strawberry
vanilla,butterscotch,chocolate
cookies and cream,butterscotch,coconut
strawberry,chocolate,butterscotch
chocolate and chip,strawberry,vanilla
chocolate,butterscotch,vanilla
sizzling brownie,raspberry,butterscotch
dark chocolate,chocolate,hazelnut
strawberry,chocolate,black currant
vanilla,butterscotch,strawberry
